what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1446497458183
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1446497458183
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1446497458183
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1446497458183
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1446497458198
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1446497458198
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1446497458198
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1446497458198
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1446497458198
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1446497458198
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1446497458198
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1446497458214
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1446497458214
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1446497458214
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1446497458214
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1446497458214
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1446497458214
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1446497458214
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1446497458214
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1446497458214
os,sysinfo,,,"win32",1446497458230
arch,sysinfo,,,"x86",1446497458230
ws,sysinfo,,,"win32",1446497458230
locale,sysinfo,,,"es_AR",1446497458230
processors,sysinfo,,,"2",1446497458230
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1446497458230
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1446497458230
java.specification.name,sysinfo,,,"Java Platform API Specification",1446497458230
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446497458230
java.specification.version,sysinfo,,,"1.6",1446497458230
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446497458230
java.version,sysinfo,,,"1.6.0_13",1446497458230
java.vm.info,sysinfo,,,"mixed mode",1446497458230
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1446497458230
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446497458230
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446497458230
java.vm.specification.version,sysinfo,,,"1.0",1446497458230
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446497458230
java.vm.version,sysinfo,,,"11.3-b02",1446497458230
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1446497460554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446497672560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446497677152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446497678919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446497683554
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446497695414
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1446497695889
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1446497696144
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1446497696146
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1446497696148
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1446497696151
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1446497696152
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1446497696154
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1446497696155
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1446497696157
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1446497696158
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1446497696160
